,Level,nD,dS,mod,Mean,Min,Max,Range,Std,-1StD,+1StD,-2Std,+2Std,Idk,2Idk
0,-1.0,1.0,6.0,1.0,4.5,2.0,7.0,5.0,1.71,2.79,6.21,1.08,7.92,0.68,1.37
1,0.0,1.0,6.0,3.0,6.5,4.0,9.0,5.0,1.71,4.79,8.21,3.08,9.92,0.68,1.37
2,1.0,1.0,8.0,4.0,8.5,5.0,12.0,7.0,2.29,6.21,10.79,3.92,13.08,0.65,1.31
3,2.0,1.0,12.0,4.0,10.5,5.0,16.0,11.0,3.45,7.05,13.95,3.6,17.4,0.63,1.25
4,3.0,1.0,12.0,8.0,14.5,9.0,20.0,11.0,3.45,11.05,17.95,7.6,21.4,0.63,1.25
5,4.0,2.0,10.0,7.0,18.0,9.0,27.0,18.0,4.06,13.94,22.06,9.88,26.12,0.45,0.9
6,5.0,2.0,12.0,7.0,20.0,9.0,31.0,22.0,4.88,15.12,24.88,10.24,29.76,0.44,0.89
7,6.0,2.0,12.0,10.0,23.0,12.0,34.0,22.0,4.88,18.12,27.88,13.24,32.76,0.44,0.89
8,7.0,2.0,12.0,12.0,25.0,14.0,36.0,22.0,4.88,20.12,29.88,15.24,34.76,0.44,0.89
9,8.0,2.0,12.0,15.0,28.0,17.0,39.0,22.0,4.88,23.12,32.88,18.24,37.76,0.44,0.89
10,9.0,2.0,12.0,17.0,30.0,19.0,41.0,22.0,4.88,25.12,34.88,20.24,39.76,0.44,0.89
11,10.0,2.0,12.0,20.0,33.0,22.0,44.0,22.0,4.88,28.12,37.88,23.24,42.76,0.44,0.89
12,11.0,2.0,12.0,22.0,35.0,24.0,46.0,22.0,4.88,30.12,39.88,25.24,44.76,0.44,0.89
13,12.0,3.0,12.0,19.0,38.5,22.0,55.0,33.0,5.98,32.52,44.48,26.54,50.46,0.36,0.72
14,13.0,3.0,12.0,21.0,40.5,24.0,57.0,33.0,5.98,34.52,46.48,28.54,52.46,0.36,0.72
15,14.0,3.0,12.0,24.0,43.5,27.0,60.0,33.0,5.98,37.52,49.48,31.54,55.46,0.36,0.72
16,15.0,3.0,12.0,26.0,45.5,29.0,62.0,33.0,5.98,39.52,51.48,33.54,57.46,0.36,0.72
17,16.0,3.0,12.0,29.0,48.5,32.0,65.0,33.0,5.98,42.52,54.48,36.54,60.46,0.36,0.72
18,17.0,3.0,12.0,31.0,50.5,34.0,67.0,33.0,5.98,44.52,56.48,38.54,62.46,0.36,0.72
19,18.0,3.0,12.0,34.0,53.5,37.0,70.0,33.0,5.98,47.52,59.48,41.54,65.46,0.36,0.72
20,19.0,4.0,12.0,29.0,55.0,33.0,77.0,44.0,6.9,48.1,61.9,41.2,68.8,0.31,0.63
21,20.0,4.0,12.0,32.0,58.0,36.0,80.0,44.0,6.9,51.1,64.9,44.2,71.8,0.31,0.63
22,21.0,4.0,12.0,34.0,60.0,38.0,82.0,44.0,6.9,53.1,66.9,46.2,73.8,0.31,0.63
23,22.0,4.0,12.0,37.0,63.0,41.0,85.0,44.0,6.9,56.1,69.9,49.2,76.8,0.31,0.63
24,23.0,4.0,12.0,39.0,65.0,43.0,87.0,44.0,6.9,58.1,71.9,51.2,78.8,0.31,0.63
25,24.0,4.0,12.0,42.0,68.0,46.0,90.0,44.0,6.9,61.1,74.9,54.2,81.8,0.31,0.63
