,Level,nD,dS,mod,Mean,Min,Max,Range,Std,-1StD,+1StD,-2Std,+2Std,Idk,2Idk
0,-1.0,1.0,4.0,0.0,2.5,1.0,4.0,3.0,1.12,1.38,3.62,0.26,4.74,0.75,1.49
1,0.0,1.0,4.0,1.0,3.5,2.0,5.0,3.0,1.12,2.38,4.62,1.26,5.74,0.75,1.49
2,1.0,1.0,4.0,2.0,4.5,3.0,6.0,3.0,1.12,3.38,5.62,2.26,6.74,0.75,1.49
3,2.0,1.0,6.0,3.0,6.5,4.0,9.0,5.0,1.71,4.79,8.21,3.08,9.92,0.68,1.37
4,3.0,1.0,6.0,5.0,8.5,6.0,11.0,5.0,1.71,6.79,10.21,5.08,11.92,0.68,1.37
5,4.0,2.0,4.0,4.0,9.0,6.0,12.0,6.0,1.58,7.42,10.58,5.84,12.16,0.53,1.05
6,5.0,2.0,4.0,6.0,11.0,8.0,14.0,6.0,1.58,9.42,12.58,7.84,14.16,0.53,1.05
7,6.0,2.0,4.0,7.0,12.0,9.0,15.0,6.0,1.58,10.42,13.58,8.84,15.16,0.53,1.05
8,7.0,2.0,6.0,6.0,13.0,8.0,18.0,10.0,2.42,10.58,15.42,8.16,17.84,0.48,0.97
9,8.0,2.0,6.0,8.0,15.0,10.0,20.0,10.0,2.42,12.58,17.42,10.16,19.84,0.48,0.97
10,9.0,2.0,6.0,9.0,16.0,11.0,21.0,10.0,2.42,13.58,18.42,11.16,20.84,0.48,0.97
11,10.0,2.0,6.0,10.0,17.0,12.0,22.0,10.0,2.42,14.58,19.42,12.16,21.84,0.48,0.97
12,11.0,2.0,8.0,10.0,19.0,12.0,26.0,14.0,3.24,15.76,22.24,12.52,25.48,0.46,0.93
13,12.0,3.0,6.0,10.0,20.5,13.0,28.0,15.0,2.96,17.54,23.46,14.58,26.42,0.39,0.79
14,13.0,3.0,6.0,11.0,21.5,14.0,29.0,15.0,2.96,18.54,24.46,15.58,27.42,0.39,0.79
15,14.0,3.0,6.0,13.0,23.5,16.0,31.0,15.0,2.96,20.54,26.46,17.58,29.42,0.39,0.79
16,15.0,3.0,6.0,14.0,24.5,17.0,32.0,15.0,2.96,21.54,27.46,18.58,30.42,0.39,0.79
17,16.0,3.0,6.0,15.0,25.5,18.0,33.0,15.0,2.96,22.54,28.46,19.58,31.42,0.39,0.79
18,17.0,3.0,6.0,16.0,26.5,19.0,34.0,15.0,2.96,23.54,29.46,20.58,32.42,0.39,0.79
19,18.0,3.0,6.0,17.0,27.5,20.0,35.0,15.0,2.96,24.54,30.46,21.58,33.42,0.39,0.79
20,19.0,4.0,6.0,14.0,28.0,18.0,38.0,20.0,3.42,24.58,31.42,21.16,34.84,0.34,0.68
21,20.0,4.0,6.0,15.0,29.0,19.0,39.0,20.0,3.42,25.58,32.42,22.16,35.84,0.34,0.68
22,21.0,4.0,6.0,17.0,31.0,21.0,41.0,20.0,3.42,27.58,34.42,24.16,37.84,0.34,0.68
23,22.0,4.0,6.0,18.0,32.0,22.0,42.0,20.0,3.42,28.58,35.42,25.16,38.84,0.34,0.68
24,23.0,4.0,6.0,19.0,33.0,23.0,43.0,20.0,3.42,29.58,36.42,26.16,39.84,0.34,0.68
25,24.0,4.0,6.0,21.0,35.0,25.0,45.0,20.0,3.42,31.58,38.42,28.16,41.84,0.34,0.68
