,Level,nD,dS,mod,Mean,Min,Max,Range,Std,-1StD,+1StD,-2Std,+2Std,Idk,2Idk
0,-1.0,1.0,4.0,0.0,2.5,1.0,4.0,3.0,1.12,1.38,3.62,0.26,4.74,0.75,1.49
1,0.0,1.0,4.0,2.0,4.5,3.0,6.0,3.0,1.12,3.38,5.62,2.26,6.74,0.75,1.49
2,1.0,1.0,6.0,2.0,5.5,3.0,8.0,5.0,1.71,3.79,7.21,2.08,8.92,0.68,1.37
3,2.0,1.0,8.0,4.0,8.5,5.0,12.0,7.0,2.29,6.21,10.79,3.92,13.08,0.65,1.31
4,3.0,1.0,8.0,6.0,10.5,7.0,14.0,7.0,2.29,8.21,12.79,5.92,15.08,0.65,1.31
5,4.0,2.0,6.0,5.0,12.0,7.0,17.0,10.0,2.42,9.58,14.42,7.16,16.84,0.48,0.97
6,5.0,2.0,6.0,6.0,13.0,8.0,18.0,10.0,2.42,10.58,15.42,8.16,17.84,0.48,0.97
7,6.0,2.0,6.0,8.0,15.0,10.0,20.0,10.0,2.42,12.58,17.42,10.16,19.84,0.48,0.97
8,7.0,2.0,8.0,8.0,17.0,10.0,24.0,14.0,3.24,13.76,20.24,10.52,23.48,0.46,0.93
9,8.0,2.0,8.0,9.0,18.0,11.0,25.0,14.0,3.24,14.76,21.24,11.52,24.48,0.46,0.93
10,9.0,2.0,8.0,11.0,20.0,13.0,27.0,14.0,3.24,16.76,23.24,13.52,26.48,0.46,0.93
11,10.0,2.0,10.0,11.0,22.0,13.0,31.0,18.0,4.06,17.94,26.06,13.88,30.12,0.45,0.9
12,11.0,2.0,10.0,12.0,23.0,14.0,32.0,18.0,4.06,18.94,27.06,14.88,31.12,0.45,0.9
13,12.0,3.0,8.0,12.0,25.5,15.0,36.0,21.0,3.97,21.53,29.47,17.56,33.44,0.38,0.76
14,13.0,3.0,8.0,14.0,27.5,17.0,38.0,21.0,3.97,23.53,31.47,19.56,35.44,0.38,0.76
15,14.0,3.0,8.0,15.0,28.5,18.0,39.0,21.0,3.97,24.53,32.47,20.56,36.44,0.38,0.76
16,15.0,3.0,10.0,14.0,30.5,17.0,44.0,27.0,4.97,25.53,35.47,20.56,40.44,0.37,0.74
17,16.0,3.0,10.0,15.0,31.5,18.0,45.0,27.0,4.97,26.53,36.47,21.56,41.44,0.37,0.74
18,17.0,3.0,10.0,16.0,32.5,19.0,46.0,27.0,4.97,27.53,37.47,22.56,42.44,0.37,0.74
19,18.0,3.0,10.0,17.0,33.5,20.0,47.0,27.0,4.97,28.53,38.47,23.56,43.44,0.37,0.74
20,19.0,4.0,8.0,17.0,35.0,21.0,49.0,28.0,4.58,30.42,39.58,25.84,44.16,0.33,0.65
21,20.0,4.0,8.0,19.0,37.0,23.0,51.0,28.0,4.58,32.42,41.58,27.84,46.16,0.33,0.65
22,21.0,4.0,8.0,20.0,38.0,24.0,52.0,28.0,4.58,33.42,42.58,28.84,47.16,0.33,0.65
23,22.0,4.0,8.0,22.0,40.0,26.0,54.0,28.0,4.58,35.42,44.58,30.84,49.16,0.33,0.65
24,23.0,4.0,10.0,20.0,42.0,24.0,60.0,36.0,5.74,36.26,47.74,30.52,53.48,0.32,0.64
25,24.0,4.0,10.0,22.0,44.0,26.0,62.0,36.0,5.74,38.26,49.74,32.52,55.48,0.32,0.64
